player,team,team_abbrev,avg,hits,homeRuns,rbi,stolenBases,obp,slg,ops,atBats,plateAppearances,strikeOuts,baseOnBalls,gamesplayed,PlayerID,scrape_date
Ben Williamson,Tampa Bay Rays,TB,.247,61,3,26,8,.309,.332,.641,247,270,51,20,84,810938,2026-09-14
Miguel Vargas,Chicago White Sox,CWS,.247,135,30,79,18,.355,.470,.825,547,648,118,88,147,678246,2026-09-14
Brooks Lee,Minnesota Twins,MIN,.247,132,23,79,8,.296,.430,.726,535,576,95,34,143,686797,2026-09-14
Anthony Seigler,Boston Red Sox,BOS,.247,37,3,13,2,.327,.400,.727,150,173,28,18,49,678011,2026-09-14
Spencer Horwitz,Pittsburgh Pirates,PIT,.247,89,10,44,1,.346,.368,.714,361,422,66,50,105,687462,2026-09-14
Ali Sánchez,New York Yankees,NYY,.246,17,1,7,0,.274,.319,.593,69,74,22,1,44,645305,2026-09-14
Eli White,Boston Red Sox,BOS,.246,47,6,29,5,.289,.398,.687,191,204,45,11,96,642201,2026-09-14
Brayan Rocchio,Cleveland Guardians,CLE,.246,123,13,65,19,.306,.374,.680,500,554,81,34,143,677587,2026-09-14
Dylan Beavers,Baltimore Orioles,BAL,.246,70,7,39,5,.321,.389,.710,285,319,83,30,94,687637,2026-09-14
Sebastián Rivero,Los Angeles Angels,LAA,.245,13,0,8,0,.286,.283,.569,53,57,12,3,24,665861,2026-09-14
Tyler Soderstrom,Athletics,ATH,.245,97,19,56,2,.338,.472,.810,396,453,91,53,109,691016,2026-09-14
Andrés Giménez,Toronto Blue Jays,TOR,.245,108,9,57,20,.290,.363,.653,441,478,88,16,139,665926,2026-09-14
Ozzie Albies,Atlanta Braves,ATL,.245,140,21,69,3,.300,.406,.706,572,637,92,44,150,645277,2026-09-14
Jose Altuve,Houston Astros,HOU,.245,116,15,44,5,.306,.397,.703,474,521,104,40,123,514888,2026-09-14
Luis Torrens,New York Mets,NYM,.245,58,9,40,1,.306,.418,.724,237,261,52,17,87,620443,2026-09-14
Gabriel Arias,Chicago Cubs,CHC,.245,34,5,13,4,.286,.374,.660,139,147,60,8,50,672356,2026-09-14
Anthony Volpe,New York Yankees,NYY,.245,45,2,24,8,.327,.337,.664,184,208,46,23,60,683011,2026-09-14
